Title,Company,Location,Type,Level,YearsExp,Country,Skills
Telesales Agent,Travel Sawa, Nasr City,Full Time,Entry Level,1-2 Yrs of Exp,Cairo,"Sales Skills, Sales Target, Communication Skills, Computer Skills, Customer Service, Customer Care, Customer Support, Telesales"
Sales Representative (Outdoor) - 6th Of October,MeshKah Studio, 6th of October,Full Time,Entry Level,1-2 Yrs of Exp,Giza,"Sales Skills, Outdoor Sales, Sales Target, Marketing, Digital Marketing, Production, Sales/Retail"
Junior Proposal Engineer,RMS, Mohandessin,Full Time,Entry Level,0-2 Yrs of Exp,Giza,"Electrical Engineering, Instrumentation, PLC, Automation Sales, Microsoft Office, Indoor Sales, Mechanical Engineering, Gas Analysis"
Senior Account Manager/Digital Marketing...,Glu solutions, Fleming,Full Time,Experienced,5+ Yrs of Exp,Alexandria,"Advertising, Social Media Platforms, E-marketing, English, Marketing/PR/Advertising, Sales/Retail, Media/Journalism/Publishing"
Testing Lead,ITIDA, 6th of October,Full Time,Manager,7+ Yrs of Exp,Giza,"Information Technology (IT), Software Development, Project Management, Quality Assurance, Computer Science, Software Testing, Quality"
Mobile Developer,ITIDA, 6th of October,Full Time,Experienced,5+ Yrs of Exp,Giza,"Information Technology (IT), Mobile Development, Software Development, Computer Science, Information Systems, IT/Software Development"
DevOps Engineer,ITIDA, 6th of October,Full Time,Experienced,5+ Yrs of Exp,Giza,"Computer Science, Software Development, Information Systems, DevOps, English, IT/Software Development"
Office Manager,Confidential, Cairo,Full Time,Experienced,2-5 Yrs of Exp,Egypt,"Office Management, Administration, Secretary, Real Estate, Office Manager, Microsoft Office, Communication Skills, CEO, English"
R&D Hardware Engineer,LG Electronics, 10th of Ramadan City,Full Time,Experienced,2-4 Yrs of Exp,Sharqia,"Manufacturing, Mechatronics, Electrical, Hardware, Electronics, R&D, R&D/Science, Installation/Maintenance/Repair"
R&D Mechanical Engineer,LG Electronics, 10th of Ramadan City,Full Time,Experienced,2-4 Yrs of Exp,Cairo,"Mechanical Engineering, Mechatronics, R&D, 2D, 3D, Mechanical Power, Hardware, Troubleshooting, R&D/Science"
Interior Design/Architecture Team Leader,Confidential, New Cairo,Full Time,Manager,7+ Yrs of Exp,Cairo,"Architecture, Engineering, Shop Drawings, Revit, Commercial Construction, Contractor, 3ds Max, Photoshop, AutoCAD, Fine Arts"
Exchange Administrator,Confidential, New Cairo,Full Time,Experienced,4-6 Yrs of Exp,Cairo,"Information Technology (IT), System Administration, PowerShell, Network, Exchange Administration, Backup, Lotus Notes, MSCE"
Senior Software Engineer Full Stack,Meddy, Dubai,Full Time,Work From Home,5-10 Yrs of Exp,United Arab Emirates,"Computer Science, Software Development, Software Engineering, DevOps, Information Technology (IT), Software Design"
Site Engineer,Lotus Finishing Materials, Nozha,Full Time,Experienced,3-4 Yrs of Exp,Cairo,"Construction, Architecture, Drawings, Revit, AutoCAD, Engineering - Construction/Civil/Architecture"
Senior PHP Developer,Togar, New Nozha,Full Time,Experienced,3-7 Yrs of Exp,Cairo,"PHP, Information Technology (IT), Software Development, CSS, Computer Science, javaScript, MySQL, HTML, OOP, AJAX, WordPress"
Systems Engineer,Sumerge, Cairo,Full Time,Experienced,3-5 Yrs of Exp,Egypt,"Computer Science, FileNet, DevOps, HTTP, Installation, Software Engineering, Application Server, LDAP, Linux"
Sales Manager,Confidential, Abbassia,Full Time,Manager,7-15 Yrs of Exp,Cairo,"Customer Service, Sales Target, Business, Negotiation Skills, textile, fabric, Leadership, B2B, Communication, Business Development"
UI/ UX Developer,Add Pluses, 6th of October,Full Time,Freelance / Project,1-2 Yrs of Exp,Giza,"Males Only, HTML5, CSS3, Web Development, Web Design, Software Development, javaScript, UI, UX, Adobe Photoshop, jQuery"
CRM Consultant,Xceed, Maadi,Full Time,Work From Home,2+ Yrs of Exp,Cairo,"Information Technology (IT), Computer Science, IT, Configuring, Computer Software, English, Customer Support, CRM, C#, SQL"
Web Graphic Designer,Dimofinf Operations Center, Nasr City,Full Time,Experienced,4-5 Yrs of Exp,Cairo,"Adobe Photoshop, Adobe Illustrator, Creative, Graphics, Web Design, Social Media, Fine Arts, English, Adobe XD, Zeplin"
Senior Property Consultant - Sales Real Estate,Casa Blanca for real estate investment, New Cairo,Full Time,Entry Level,1-4 Yrs of Exp,Cairo,"Sales Skills, Real Estate, Sales Target, Senior Sales, Insurance, Advertising, Communication Skills, Media, Negotiation Skills"
Account Manager (indoor sales),Transmar International, New Cairo,Full Time,Work From Home,4-8 Yrs of Exp,Cairo,"Customer Service, Sales Target, Customer Service/Support, Sales/Retail"
IT Help Desk Specialist,Confidential, Cairo,Full Time,Experienced,2-4 Yrs of Exp,Egypt,"Information Technology (IT), Computer Science, Help Desk, Installation, Customer Service, English, Computer Engineering, Computer Hardware"
Digital Marketing Specialist,Orchidia Pharmaceutical Industries, Cairo,Full Time,Experienced,3+ Yrs of Exp,Egypt,"Digital Marketing, E-marketing, Online Marketing, Marketing/PR/Advertising, Media/Journalism/Publishing"
ERP Application Consultant,Rednet It Services, Cairo,Full Time,Experienced,3-7 Yrs of Exp,Egypt,"ERP, Accounting, Microsoft SQL Server, C#.Net, Software Development, Software Engineering, Computer Science, IT"
Data Cabling Site Engineer,QuadraTech for Information Technology, Katameya,Full Time,Experienced,3-7 Yrs of Exp,Cairo,"Site Engineer, Infrastructure, EPON, GPON, Computer Science, Telecommunication, Engineering, AutoCAD, Microsoft Visio, SCS, Lan Tester"
Business Development Executive (Software),iHorizons, Maadi,Full Time,Work From Home,3-5 Yrs of Exp,Cairo,"Business Development, Sales Skills, Communication Skills, IT, English, Computer Science, Information Technology, Sales Target"
Senior Security Engineer,QuadraTech for Information Technology, Katameya,Full Time,Experienced,3-5 Yrs of Exp,Cairo,"Information Security, Fortinet Security Solutions, CCNP Security, Information Technology (IT), Computer Science, Computer Engineering"
CEO Personal Assistant,First Group, Mohandessin,Full Time,Experienced,4-5 Yrs of Exp,Giza,"Computer Skills, Arabic, English, Business Administration, Administration, Operations/Management"
Technical Office Engineer,International Business Systems I.B.S., New Capital,Full Time,Experienced,10-15 Yrs of Exp,Cairo,"Technical Office, Construction, AutoCAD, Interior, Finishing, 3Dmax, Pricing, Engineering - Construction/Civil/Architecture"
Recruitment Specialist,E3mel Business for Financial & Managerial Consultancy, Maadi,Full Time,Entry Level,1-3 Yrs of Exp,Cairo,"Recruitment, Hiring, Communication, English, Microsoft Office, Personnel, Human Resources"
HR Section Head,MAC EGYPT REAL ESTATE CO., 10th of Ramadan City,Full Time,Manager,5+ Yrs of Exp,Cairo,"Personnel, Communication Skills, HR, Recruitment, Human Resources"
Head of Sales - Real Estate,Havana Hills, 6th of October,Full Time,Manager,10+ Yrs of Exp,Giza,"Management, Sales Target, Sales Skills, Communication Skills, Market Research, Marketing Campaigns, Operations/Management, Sales/Retail"
Sales Admin,MG Developments, Nasr City,Full Time,Experienced,3+ Yrs of Exp,Cairo,"Customer Care, MS Office, English, Communication Skills, Sales Administration, Real Estate, Administration"
Regional Sales Manager,Tiger Med For Medical Agencies, Cairo,Full Time,Part Time,2-15 Yrs of Exp,Egypt,"2 Vacancies, Sales Target, Sales Skills, Business Development, Medical/Healthcare, Sales/Retail"
Partnership Associate,Paymob Solutions, Maadi,Full Time,Entry Level,1-2 Yrs of Exp,Cairo,"B2B Sales, Account Management, Sales Skills, Microsoft Office, PowerPoint, Outlook, Business Development, Marketing/PR/Advertising"
Graphic Designer,Geeks Valley, Cairo,Work From Home,Experienced,5-10 Yrs of Exp,Egypt,"Adobe Photoshop, Adobe Illustrator, Adobe Indesign, Adobe After Effects, Fantasia, Creative/Design/Art"
.NET Angular Software Developer,Xceed, Maadi,Full Time,Experienced,5+ Yrs of Exp,Cairo,"Software Development, Computer Science, Software Engineering, Agile, ASP.NET MVC, JSON, AJAX, XAML, RAzor"
Biomedical Sales Engineer - Medical Devices,Wadi El-Neel International for Importing & Trading, Nasr City,Full Time,Experienced,3+ Yrs of Exp,Cairo,"Sales Traget, Biomedical Engineering, Sales Engineering, Medical Devices, Biomedical Engineer, Medical/Healthcare, Sales/Retail"
Senior Corporate Sales - Advertising Agency,Talent 360, New Cairo,Full Time,Experienced,3-5 Yrs of Exp,Cairo,"Business Development, Account Managment, Project Management, Marketing, Customer Service, Sales Skills, Sales Target, Negotiation"
Document Controller,Hyundai Rotem, Abbassia,Full Time,Entry Level,1-4 Yrs of Exp,Cairo,"Writing, Mechanical Engineering, Electrical Engineering, System Analysis, Documentation, Editing, English, Document Controller"
Junior Financial Data Analyst,Z2 Data, Nasr City,Full Time,Entry Level,0-2 Yrs of Exp,Cairo,"Finance, Accounting, Financial Analysis, Financial Data, Financial Statements, Commerce, Accounting/Finance, Analyst/Research"
Chief Accountant,Bedaya Packing, New Cairo,Full Time,Manager,9-10 Yrs of Exp,Cairo,"Financial Management, Financial Analysis, Accounting Software, Quick Books, Corporate, Accounting/Finance"
Senior Front End Developer - React,Trufla, Heliopolis,Full Time,Experienced,3+ Yrs of Exp,Cairo,"Information Technology (IT), Software Development, JavaScript, Ember.JS, React.JS, SQL, HTML, CSS, Ruby On Rails, SaaS"
IT Sales Specialist,Altayar recruitment, Riyadh,Full Time,Experienced,2+ Yrs of Exp,Saudi Arabia,"Sales Skills, Sales Target, Customer Support, IT/Software Development, Sales/Retail, Engineering - Telecom/Technology"
Legal Specialist (Real Estate),Deyar Masr, New Cairo,Full Time,Experienced,3+ Yrs of Exp,Cairo,"Legal, Contracts, Legal"
Admin Coordinator Real Estate,global building, New Cairo,Full Time,Entry Level,0-2 Yrs of Exp,Cairo,"Telesales, Customer Care, Customer Support, Customer Service, Information Technology (IT), Administration, Customer Service/Support"
Technical Customer Service Manager,Dimofinf Operations Center, Nasr City,Full Time,Manager,7-10 Yrs of Exp,Cairo,"Customer Care, Customer Support, Business Administration, Communication, Negotiation Skills, Education, Training, Management"
Social Media Specialist,Arabic Trader, Dokki,Full Time,Experienced,2+ Yrs of Exp,Giza,"Market Research, Social Media, Marketing/PR/Advertising, Media/Journalism/Publishing"
Graphic Designer,Air Gate, Mohandessin,Full Time,Experienced,3-5 Yrs of Exp,Giza,"Adobe Photoshop, Adobe Illustrator, English, Graphic Design, Microsoft Office, Creative/Design/Art, Marketing/PR/Advertising"
UC Senior Collaboration Engineer,Confidential, Cairo,Full Time,Experienced,5-8 Yrs of Exp,Egypt,"Computer Science, Computer Engineering, Cisco, CCNP, Installation, Troubleshooting, Collaboration Engineer, UC"
Customer Service Team Leader,Dimofinf Operations Center, Nasr City,Full Time,Shift Based,4-5 Yrs of Exp,Cairo,"Customer Service, Customer Support, Customer Care, Business Administration, Training, Education, Computer Skills, Management"
Admin Specialist- Alex,Al-Mansour, Alexandria,Full Time,Entry Level,1-4 Yrs of Exp,Egypt,"Administration, Microsoft Office, Data Entry, English, Skills, Administration, Operations/Management"
Admin Specialist,Al-Mansour, Giza,Full Time,Entry Level,1-4 Yrs of Exp,Egypt,"Administration, Microsoft Office, Data Entry, English, Skills, Administration, Operations/Management"
Planning & Follow-Up Manager,Confidential, Maadi,Full Time,Manager,15+ Yrs of Exp,Cairo,"Planning, Computer Skills, English, Operations, Wooden Manufacturing, Applied Arts, Fine Arts, Creative/Design/Art, Operations/Management"
Finishing Sector Manager,Confidential, Maadi,Full Time,Manager,6-10 Yrs of Exp,Cairo,"Architecture, Construction, Finishing Materials, Paintings, Gypsum Board, Marble, False Ceilings, Glass Finishing, English"
Stock Control Accountant,Cairoscan, Giza,Full Time,Experienced,4-6 Yrs of Exp,Egypt,"Medical, Inventory, Finance, Commerce, Computer Skills, Stock Control, Financial Analysis, English, Accounting/Finance"
Clinical Sales Representative,CMR Egypt, Maadi,Full Time,Experienced,2-5 Yrs of Exp,Cairo,"Sales Skills, Science, English, Medical Devices, Sales Target, Medical Sales, Robotic Surgery, Health Care Sales, Medical/Healthcare"
Inventory Accountant (Stock Controller),Confidential, Giza,Full Time,Experienced,2-3 Yrs of Exp,Egypt,"Medical, Inventory, Stock Control, Finance, Commerce, English, Accounting/Finance"
Call Center Agent - Cairo,Confidential, Nasr City,Full Time,Entry Level,1-3 Yrs of Exp,Cairo,"Customer Service, Customer Care, Call Center, Back Office, FMCG, Customer Support, English, Arabic, Customer Service/Support"
Key Accounts Supervisor,Dreem Mashreq Foods, 6th of October,Full Time,Experienced,5-7 Yrs of Exp,Giza,"Computer Skills, Sales Target, Sales Skills, Customer Care, Customer Service, Customer Support, B2C, English, MS Office, FMCG"
Enterprise Architecture Engineer,Altayar recruitment, Riyadh,Full Time,Experienced,3+ Yrs of Exp,Saudi Arabia,"Information Technology (IT), Project Management, Software Development, Computer Science, System Architecture"
Sales Representative,International Business Systems I.B.S., Mokattam,Full Time,Experienced,3-4 Yrs of Exp,Cairo,"Indoor Sales, Outdoor Sales, Sales Skills, Sales Target, Client Relationships, Customer Service, Sales/Retail"
Indoor Sales Executive - Furniture,Blend Furniture, Nasr City,Full Time,Experienced,2+ Yrs of Exp,Cairo,"Males Only, Sales Skills, Sales Target, Indoor Sales, Microsoft Office, Retail, Furniture Sales, Sales System, English, Arabic"
Sales Representative,Zollect, New Cairo,Full Time,Experienced,2-3 Yrs of Exp,Cairo,"Computer Skills, Customer Service, Customer Care, Call Center, English, Cold Calling, Outbound, Microsoft Office, Customer Support"
Regulatory Affairs Specialist,Temco, Dokki,Full Time,Entry Level,1-3 Yrs of Exp,Giza,"Pharmacy, Pharmaceutical, Veterinary Medicine, Sciences, English, R&D/Science, Logistics/Supply Chain, Pharmaceutical"
Chief Accountant,TelSupport, 6th of October,Full Time,Manager,10+ Yrs of Exp,Giza,"Finance, Financial Management, Commerce, Costing, Accounting, Financial Analysis, MS Office, MS Excel, Contracting, Accounting/Finance"
Business Development Manager,Altayar recruitment, Riyadh,Full Time,Manager,5+ Yrs of Exp,Saudi Arabia,"Sales Skills, Business Development"
Sales Property Consultant Team Leader,Two Tracks Real Estate Egypt, New Cairo,Full Time,Manager,3-5 Yrs of Exp,Cairo,"Sales Skills, Sales Target, Real Estate, Customer Service, Customer Care, Customer Support, English, Sales/Retail"
Admin Officer - Alexandria,Ibn Sina Pharma, Mansheya,Full Time,Entry Level,1-3 Yrs of Exp,Alexandria,"Office Supplies, Administration Services, Utilities, English, Administration"
Senior Content Creator,Paraguru, Heliopolis,Full Time,Experienced,2+ Yrs of Exp,Cairo,"Social Media, SEO, Content Writing, Writing/Editorial, Marketing/PR/Advertising, Media/Journalism/Publishing"
Property Consultant,Two Tracks Real Estate Egypt, New Cairo,Full Time,Entry Level,1-3 Yrs of Exp,Cairo,"Sales Skills, Sales Target, Real Estate, Customer Service, Customer Care, Customer Support, English, Property Sales, Sales/Retail"
HR Specialist,Scoop Production, Haram,Full Time,Experienced,2-5 Yrs of Exp,Giza,"Recruitment, Personnel, Microsoft Office, HR, Interviewing, Recruiter, Arabic, English, Selection, Mass Hiring"
Payroll Control Specialist,Ghabbour Auto, Giza,Full Time,Entry Level,1-3 Yrs of Exp,Egypt,"HR, MS Office, English, Payroll, Business Administration, Human Resources"
Purchasing Manager,Sinai University, Katameya,Full Time,Manager,8-10 Yrs of Exp,Cairo,"Procurement, Logistics, Supply Chain, Hospitality, Educational, Microsoft Dynamics AX, ERP, Logistics/Supply Chain"
Lab Operations Manager,سلسلة معامل حديثة بالقاهرة, Dokki,Full Time,Manager,5+ Yrs of Exp,Giza,"Dental Labs, Dentist, Operations/Management, Medical/Healthcare, Pharmaceutical"
Product Manager - Women's Healthcare,dkt Egypt, Nasr City,Full Time,Manager,2+ Yrs of Exp,Cairo,"Sales, Brand Management, Business Development, Business Planning, Healthcare, Product Management, Project Management, Sales/Retail"
Customer Service Agent,Scoop Production, Haram,Full Time,Entry Level,1-4 Yrs of Exp,Giza,"Customer Support, Customer Service, Customer Care, Call Center, Negotiation, English, Communication, Customer Service/Support"
Purchasing Specialist,Confidential, Cairo,Full Time,Experienced,2-3 Yrs of Exp,Egypt,"Purchasing, Logistics, Microsoft Office, Business Administration, English, Negotiation, Supply Chain Management, Logistics/Supply Chain"
HR Generalist,Breadfast, Cairo,Full Time,Experienced,2+ Yrs of Exp,Egypt,"HR Generalist, Microsoft Office, Administration, Recruitment, Personnel, English, Administration, Human Resources"
Receptionist,سلسلة معامل حديثة بالقاهرة, Dokki,Full Time,Experienced,2+ Yrs of Exp,Giza,"Office Management, Microsoft Office, Administration"
Installation Manager,Confidential, Maadi,Full Time,Manager,15+ Yrs of Exp,Cairo,"English, Communication Skills, Computer Skills, Shop Drawings, Project Management, Applied Arts, Fine Arts, Wooden Manufacturing"
Graphic Designer,MZ Media, Mansheya,Full Time,Entry Level,1-3 Yrs of Exp,Alexandria,"Graphic Design, Adobe Illustrator, Time Management, Creative/Design/Art"
Chemist,سلسلة معامل حديثة بالقاهرة, Dokki,Full Time,Experienced,2+ Yrs of Exp,Giza,"Science, Production, R&D/Science, Engineering - Other"
Sales Engineer - Electrical Light Current,Andalus Electrical solutions, Cairo,Full Time,Entry Level,1-5 Yrs of Exp,Egypt,"Sales Skills, Light Current, Presales, Sales Target, Sales/Retail, Engineering - Mechanical/Electrical"
Sales Engineer - Electrical,Andalus Electrical solutions, Cairo,Full Time,Entry Level,1-5 Yrs of Exp,Egypt,"Engineering, Presales, Dialux, CAD, Sales/Retail, Engineering - Mechanical/Electrical"
Civil Engineer,Kiromarble for marble and granite, Maadi,Full Time,Experienced,3+ Yrs of Exp,Cairo,"Construction, Architecture, Project Management, Interior, Engineering - Construction/Civil/Architecture"
Medical Representative & Public Relations...,سلسلة معامل حديثة بالقاهرة, Dokki,Full Time,Part Time,2+ Yrs of Exp,Giza,"Females Only, Social Media, E-marketing, Marketing/PR/Advertising, Media/Journalism/Publishing"
Financial Controller,Confidential, Basatin,Full Time,Manager,15+ Yrs of Exp,Cairo,"Financial Management, Financial Analysis, Commerce, Retail, Cash Flow, Accounting, Finance Management, Accounting/Finance"
Accountant - Alexandria,Confidential, Alexandria,Full Time,Experienced,3+ Yrs of Exp,Egypt,"Accounting, Finance, Financial Management, Financial Analysis, Banking, Computer Skills, Microsoft Office, Accounting/Finance"
Marketing Manager,سلسلة معامل حديثة بالقاهرة, Dokki,Full Time,Manager,3+ Yrs of Exp,Giza,"Marketing, Social Media, Market Research, Sales, Marketing/PR/Advertising, Media/Journalism/Publishing"
Recruitment Specialist,Breadfast, Cairo,Full Time,Entry Level,1-3 Yrs of Exp,Egypt,"Recruitment, Interviewing, Microsoft Office, Hiring, Recruiting, Sourcing, English, Human Resources"
CEO Executive Assistant,Confidential, Sheikh Zayed,Full Time,Experienced,5-8 Yrs of Exp,Giza,"Executive Assistant, Administration, Secretary, Personal Assistant, Assistant CEO, Microsoft Office, Office Management, English"
Surveying Engineer,Kiromarble for marble and granite, Maadi,Full Time,Experienced,3+ Yrs of Exp,Cairo,"AutoCAD, English, Site Survey, Civil Engineering, Engineering - Construction/Civil/Architecture"
Accountant,سلسلة معامل حديثة بالقاهرة, Dokki,Full Time,Experienced,2+ Yrs of Exp,Giza,"Finance, Financial Analysis, Financial Management, Commerce, Accounting/Finance"
IT HelpDesk - Hurghada,Somabay, Hurghada,Full Time,Entry Level,0-2 Yrs of Exp,Red Sea,"CCNA, Maintenance, Installation, Information Technology (IT), Computer Science, Computer Engineering, Help-desk, IT/Software Development"
Senior Recruitment Specialist,Breadfast, Cairo,Full Time,Experienced,3+ Yrs of Exp,Egypt,"Business Administration, MS Office, Recruitment, Interviewing, Sourcing, Hiring, Administration, Human Resources"
Accountant - Fixed Assets,Cairoscan, Giza,Full Time,Experienced,3+ Yrs of Exp,Egypt,"English Commerce, Medical, Inventory, Stock, ERP, Financial Management, Financial Analysis, Assets, Finance, Accounting/Finance"
Cost Accountant,Confidential, Alexandria,Full Time,Experienced,10+ Yrs of Exp,Egypt,"Accounting, Accounting/Finance"
Sr Personnel Specialist,Breadfast, Cairo,Full Time,Experienced,3+ Yrs of Exp,Egypt,"Human Resources (HR), Microsoft Office, English, Administration, Paperwork, Forms, HR, Administration, Human Resources"
Sales Manager,Portawest, New Cairo,Full Time,Manager,5+ Yrs of Exp,Cairo,"Sales Target, Customer Service, Customer Care, Customer Support, Business Development, Sales/Retail"
Online Sales Representative,Tyro, Maadi,Full Time,Work From Home,2+ Yrs of Exp,Cairo,"3 Vacancies, Sales Skills, Sales Target, Customer Service, Education, English, Sales/Retail"
Senior Java Developer,Media Sci, New Cairo,Full Time,Experienced,2-6 Yrs of Exp,Cairo,"Software Development, Information Technology (IT), Computer Science, MySQL, Frameworks, IT/Software Development"
Property Consultant Sales Manager,Confidential, Heliopolis,Full Time,Manager,7-10 Yrs of Exp,Cairo,"Sales Skills, Real Estate, Sales Target, Property, Negotiation, Communication, Team Management, Business Development, ROI, Broker"
Senior Front End Developer,Radivision, Cairo,Full Time,Experienced,4+ Yrs of Exp,Egypt,"Computer Science, Software Development, javaScript, Agile, JSON, AWS, SEO, API, Testing, Git, GraphQL"
GL-Accountant - Real Estate,Next Home, Mokattam,Full Time,Experienced,3-5 Yrs of Exp,Cairo,"Real Estate, Financial Analysis, Accounting, ERP, Computer Skills, MS Office, Commerce, Accounting/Finance"
Quality Specialist,Cleopatra Hospitals Group, Mohandessin,Full Time,Experienced,2-4 Yrs of Exp,Giza,"CPHQ, Quality Assurance, Quality Control, QA, Medicine, Dentistry, Pharmacy, Pharmaceutical, Medical/Healthcare, Quality, Pharmaceutical"
Sales Team Leader - Real Estate Brokerage,Kimit Real Estate, New Cairo,Full Time,Manager,3-5 Yrs of Exp,Cairo,"Sales Skills, Real Estate, Sales Target, Brokerage, Sales/Retail"
Field Medical Associate - Alexandria (French...,Caduceus Lane, Alexandria,Full Time,Experienced,2-4 Yrs of Exp,Egypt,"Clinical Research, Medical, Pharmacy, Healthcare, Scientific Research, Medical/Healthcare, Sales/Retail, Pharmaceutical"
Digital Media Buyer,Xact, Heliopolis,Full Time,Experienced,2+ Yrs of Exp,Cairo,"Google Ads, Instagram, Campaign, Facebook, Digital Marketing, Social Media, Marketing/PR/Advertising, Media/Journalism/Publishing"
Planning Manager (Uniform & Textile),TM for uniform & hotel supplies, Faisal,Full Time,Manager,5-10 Yrs of Exp,Giza,"Planning, Production, Textile, Applied Arts, Computer Skills, Design, Fashion, Uniform, Creative/Design/Art, Operations/Management"
Mechanical Site Engineer - Hurghada,Watco Egypt, Hurghada,Full Time,Entry Level,0-1 Yrs of Exp,Red Sea,"Mechanical Engineering, HVAC, Mechanics, Site Engineer, Engineering - Mechanical/Electrical"
Telesales Agent,Emarketing-egypt, Dokki,Full Time,Entry Level,1-2 Yrs of Exp,Giza,"Females Only, Sales Skills, Sales Target, Telesales, Telemarketing, Customer Service, Customer Care, Customer Support, Call Center"
Real Estate Property Consultant,Platinum Properties for real estate services, Cairo,Full Time,Experienced,2+ Yrs of Exp,Egypt,"Sales Target, Sales Skills, English, Sales/Retail"
Sales Executive,BAWQ TELECOMM, Dokki,Full Time,Experienced,2-3 Yrs of Exp,Giza,"Sales Target, Sales Skills, Customer Service, Marketing, Sales Executive, CRM Software, English, Sales/Retail"
Telesales Representative,Paymob Solutions, Maadi,Full Time,Entry Level,0-2 Yrs of Exp,Cairo,"Females Only, Telesales, Sales Skills, Sales Target, Call Center, Customer Service, Customer Care, Customer Support, Sales/Retail"
IT Technical Support Engineer,Pillars, Hadayek Alahram,Full Time,Experienced,2-4 Yrs of Exp,Giza,"Information Technology (IT), Computer Science, TroubleShooting, Linux, WAN, LAN, Cisco, Installation/Maintenance/Repair"
Accountant,Ellithy Group, Heliopolis,Full Time,Entry Level,0-1 Yrs of Exp,Cairo,"Accounting, Excel, MS Office, Financial Reporting, Financial Analysis, Accounting/Finance"
Sales Representative - Saudi Arabia,Altayar recruitment, Riyadh,Full Time,Entry Level,1-2 Yrs of Exp,Saudi Arabia,"Sales Skills, Sales Target, Business Development, Business Development, Sales/Retail"
Social Media Moderator & Telesales,SYE English Community, Dokki,Full Time,Entry Level,1-2 Yrs of Exp,Giza,"Social Media, Typing, Online Marketing, E-marketing, Sales, Customer Service/Support, Marketing/PR/Advertising"
Administrative Assistant – Intellectual Property...,Pillars, Hadayek Alahram,Full Time,Experienced,4+ Yrs of Exp,Giza,"Data Entry, Office Management, Computer Skills, Microsoft Office, Secretary, Arabic, English, Administration"
Customs Clearance Senior Specialist,Confidential, Cairo,Full Time,Experienced,4-6 Yrs of Exp,Egypt,"Supply chain, Customer Service, Customer Care, Logistics, Customer Support, Communication Skills, English, Export"
Chemical Engineer,New City Glass, 10th of Ramadan City,Full Time,Experienced,5+ Yrs of Exp,Cairo,"Chemistry, Science, R&D/Science, Engineering - Other"
Public Relation Executive - Giza,Byotat Real Estate, Mohandessin,Full Time,Experienced,2-5 Yrs of Exp,Giza,"Advertising, E-marketing, PR, Graphic Design, Communication, English, Sales Skills, Marketing/PR/Advertising"
Executive Secretary,Temco, Dokki,Full Time,Entry Level,1-3 Yrs of Exp,Giza,"Secretary, Office Management, English, Administration"
Mechanical Production Engineer,New City Glass, 10th of Ramadan City,Full Time,Experienced,5+ Yrs of Exp,Cairo,"Mechanical Engineering, Project Management, Manufacturing, Production, Maintenance, English, Manufacturing/Production"
Electrical Sales Engineer,Short Circuit Company, Haram,Full Time,Experienced,2-5 Yrs of Exp,Giza,"Males Only, Electrical Engineering, Sales Skills, Electrical Sales, Electrical Power, Sales/Retail, Engineering - Mechanical/Electrical"
Sales Representative - Furniture,Style Furniture, Heliopolis,Full Time,Shift Based,1-3 Yrs of Exp,Cairo,"2 Vacancies, Sales, Furniture, Interior Design, Customer Care, Customer Service, Customer Service/Support, Sales/Retail"
Sales Admin (Real Estate),Deyar Masr, New Cairo,Full Time,Experienced,3-5 Yrs of Exp,Cairo,"Real Estate, CRM, Customer Service, English, MS Office, Property, Sales Support, Sales Administration, Administration"
Mechanical Maintenance Engineer,New City Glass, 10th of Ramadan City,Shift Based,Experienced,2-4 Yrs of Exp,Cairo,"Maintenance, Production Engineering, Spare Parts, Glass Manufacturing, Installation/Maintenance/Repair"
IT Technical Support Specialist,Qsource, Dokki,Full Time,Experienced,2-3 Yrs of Exp,Giza,"Technical Support, Software, Help Desk, Microsoft, Linux, Communication, Information Technology (IT), Customer Service, English"
Key Account Manager,Aqarmap.com, Nasr City,Full Time,Entry Level,1+ Yrs of Exp,Cairo,"Corporate Sales, Real Estate, Marketing, Sales Skills, Outdoor Sales, Telesales, Property, Customer Service, Customer Care, English"
Sales Indoor Specialist (Online),Laser Gallery, 6th of October,Full Time,Experienced,3-5 Yrs of Exp,Giza,"Indoor Sales, Sales Skills, Outdoor Sales, Sales Target, Online Sales, Insurance Sales, Telecommunications, English, Microsoft Office"
Sales/Business Development Specialist,The Breakroom Company, Sheraton,Full Time,Part Time,2-5 Yrs of Exp,Cairo,"Business Development, Sales Skills, Negotiations, Sales Target, Business Development, Sales/Retail"
CEO Executive Assistant,Infinity Clinic Pharma, Nasr City,Full Time,Experienced,5-8 Yrs of Exp,Cairo,"Administration, Administration"
Pharmacist,ELTOUKHY PHARMACIES, New Cairo,Part Time,Shift Based,2-3 Yrs of Exp,Cairo,"4 Vacancies, Pharmaceutical, Pharmacy, Medical, Sales Skills, Sales Target, English, Sales/Retail, Pharmaceutical"
Construction Manager,MAC EGYPT REAL ESTATE CO., 10th of Ramadan City,Full Time,Manager,10-15 Yrs of Exp,Cairo,"Project Management, Architecture, Construction Management, Quality, Building, Engineering - Construction/Civil/Architecture"
Sr. Media Buyer - Digital Campaign Manager,Cultark, Heliopolis,Full Time,Experienced,3-5 Yrs of Exp,Cairo,"Digital Marketing, Management, Google Analytics, Writing, Facebook, Google Ads, Snapchat, English, Content"
